ʶ����:
    <strong>No</strong>    <strong>originalType</strong>    <strong>reportType</strong>    <strong>usedTime</strong>
    12         1              2          2.096  
    13         1              2          2.096  
    14         1              2          2.096  
    15         1              2          2.096  
    16         2              2          2.096  
    17         1              1          2.096  
    18         1              2          2.096  
    19         1              2          2.096  
    20         1              1          2.096  
    21         1              2          2.096  
    22         1              1          2.096  
    23         1              2          2.096  
    24         1              2          2.096  
    25         1              2          2.096  
    26         2              2          2.096  
    27         2              1          2.096  
    28         1              2          2.096  
    29         2              2          2.096  
    30         2              2          2.096  
    31         2              2          2.096  
    32         2              2          2.096  
    33         2              2          2.096  
    34         1              2          2.096  
    35         1              2          2.096  
    36         2              2          2.096  
    37         2              2          2.096  
    38         1              2          2.096  
    39         2              2          2.096  
    40         2              2          2.096  
    41         2              2          2.096  
    42         1              1          2.096  
    43         1              2          2.096  
    44         2              1          2.096  
    45         2              1          2.096  
    46         1              2          2.096  
    47         1              2          2.096  
    48         2              2          2.096  
    49         1              2          2.096  
    50         1              2          2.096  
    51         2              2          2.096  
    52         1              2          2.096  
    53         1              1          2.096  
    54         1              2          2.096  
    55         1              2          2.096  
    56         2              2          2.096  
    57         1              2          2.096  
    58         2              1          2.096  
    59         2              2          2.096  
    60         1              2          2.096  
    61         2              1          2.096  
    62         2              1          2.096  
    63         1              2          2.096  
    64         1              2          2.096  
    65         2              2          2.096  
    66         2              2          2.096  
    67         2              2          2.096  
    68         2              2          2.096  
    69         1              1          2.096  
    70         2              1          2.096  
    71         1              2          2.096  
    72         1              2          2.096  
    73         1              2          2.096  
    74         2              2          2.096  
    75         2              1          2.096  
    76         2              1          2.096  
    77         1              2          2.096  
    78         1              1          2.096  
    79         2              2          2.096  
    80         2              2          2.096  

<a href="matlab: opentoline('/Users/mikewang/OneDrive - McGill University/Study/Undergraduate/McGill/Semester 6/BCI Competition/MATLAB CODE/2020-bci-competition-mi-training-local-source-code-matlab/TestCode/Main.m',19,1)">19  </a>personDataTransferModelSet = loadData(folderPath);
help findstr
findstr - (Not recommended) Find string within another, longer string

    This MATLAB function searches the longer of the two input arguments for any
    occurrences of the shorter argument, returning the starting index of each such
    occurrence in the double array k.

    k = findstr(str1, str2)

    另请参阅 <a href="https://www.mathworks.com/help/releases/R2019b/matlab/ref/contains.html">contains</a>, <a href="https://www.mathworks.com/help/releases/R2019b/matlab/ref/regexp.html">regexp</a>, <a href="https://www.mathworks.com/help/releases/R2019b/matlab/ref/regexpi.html">regexpi</a>, <a href="https://www.mathworks.com/help/releases/R2019b/matlab/ref/regexprep.html">regexprep</a>, <a href="https://www.mathworks.com/help/releases/R2019b/matlab/ref/strcmp.html">strcmp</a>, <a href="https://www.mathworks.com/help/releases/R2019b/matlab/ref/strcmpi.html">strcmpi</a>, <a href="https://www.mathworks.com/help/releases/R2019b/matlab/ref/strfind.html">strfind</a>, 
        <a href="https://www.mathworks.com/help/releases/R2019b/matlab/ref/strncmp.html">strncmp</a>, <a href="https://www.mathworks.com/help/releases/R2019b/matlab/ref/strncmpi.html">strncmpi</a>, <a href="https://www.mathworks.com/help/releases/R2019b/matlab/ref/strtok.html">strtok</a>

    <a href="matlab:doc findstr">findstr 的文档</a>
    <a href="matlab:matlab.internal.language.introspective.overloads.displayOverloads('findstr')">名为 findstr 的其他函数</a>

if system_dependent('IsDebugMode')==1, dbstep; end
if system_dependent('IsDebugMode')==1, dbstep; end
if system_dependent('IsDebugMode')==1, dbstep; end
if system_dependent('IsDebugMode')==1, dbstep; end
if system_dependent('IsDebugMode')==1, dbstep; end
if system_dependent('IsDebugMode')==1, dbstep; end
if system_dependent('IsDebugMode')==1, dbstep; end
if system_dependent('IsDebugMode')==1, dbstep; end
if system_dependent('IsDebugMode')==1, dbstep; end
ʶ识别结果:
if system_dependent('IsDebugMode')==1, dbstep; end
    No    originalType    reportType    usedTime
    __    ____________    __________    ________

     1         1              2          2.096  
     2         2              1          2.096  
     3         1              1          2.096  
     4         1              2          2.096  
     5         2              2          2.096  
     6         2              2          2.096  
     7         2              2          2.096  
     8         2              2          2.096  
     9         2              2          2.096  
    10         2              2          2.096  
    11         2              1          2.096  
    12         1              2          2.096  
    13         1              2          2.096  
    14         1              2          2.096  
    15         1              2          2.096  
    16         2              2          2.096  
    17         1              1          2.096  
    18         1              2          2.096  
    19         1              2          2.096  
    20         1              1          2.096  
    21         1              2          2.096  
    22         1              1          2.096  
    23         1              2          2.096  
    24         1              2          2.096  
    25         1              2          2.096  
    26         2              2          2.096  
    27         2              1          2.096  
    28         1              2          2.096  
    29         2              2          2.096  
    30         2              2          2.096  
    31         2              2          2.096  
    32         2              2          2.096  
    33         2              2          2.096  
    34         1              2          2.096  
    35         1              2          2.096  
    36         2              2          2.096  
    37         2              2          2.096  
    38         1              2          2.096  
    39         2              2          2.096  
    40         2              2          2.096  
    41         2              2          2.096  
    42         1              1          2.096  
    43         1              2          2.096  
    44         2              1          2.096  
    45         2              1          2.096  
    46         1              2          2.096  
    47         1              2          2.096  
    48         2              2          2.096  
    49         1              2          2.096  
    50         1              2          2.096  
    51         2              2          2.096  
    52         1              2          2.096  
    53         1              1          2.096  
    54         1              2          2.096  
    55         1              2          2.096  
    56         2              2          2.096  
    57         1              2          2.096  
    58         2              1          2.096  
    59         2              2          2.096  
    60         1              2          2.096  
    61         2              1          2.096  
    62         2              1          2.096  
    63         1              2          2.096  
    64         1              2          2.096  
    65         2              2          2.096  
    66         2              2          2.096  
    67         2              2          2.096  
    68         2              2          2.096  
    69         1              1          2.096  
    70         2              1          2.096  
    71         1              2          2.096  
    72         1              2          2.096  
    73         1              2          2.096  
    74         2              2          2.096  
    75         2              1          2.096  
    76         2              1          2.096  
    77         1              2          2.096  
    78         1              1          2.096  
    79         2              2          2.096  
    80         2              2          2.096  

if system_dependent('IsDebugMode')==1, dbstep; end
ʶ识别结果:
    No    originalType    reportType    usedTime
    __    ____________    __________    ________

     1         1              2          2.096  
     2         2              1          2.096  
     3         1              1          2.096  
     4         1              2          2.096  
     5         2              2          2.096  
     6         2              2          2.096  
     7         2              2          2.096  
     8         2              2          2.096  
     9         2              2          2.096  
    10         2              2          2.096  
    11         2              1          2.096  
    12         1              2          2.096  
    13         1              2          2.096  
    14         1              2          2.096  
    15         1              2          2.096  
    16         2              2          2.096  
    17         1              1          2.096  
    18         1              2          2.096  
    19         1              2          2.096  
    20         1              1          2.096  
    21         1              2          2.096  
    22         1              1          2.096  
    23         1              2          2.096  
    24         1              2          2.096  
    25         1              2          2.096  
    26         2              2          2.096  
    27         2              1          2.096  
    28         1              2          2.096  
    29         2              2          2.096  
    30         2              2          2.096  
    31         2              2          2.096  
    32         2              2          2.096  
    33         2              2          2.096  
    34         1              2          2.096  
    35         1              2          2.096  
    36         2              2          2.096  
    37         2              2          2.096  
    38         1              2          2.096  
    39         2              2          2.096  
    40         2              2          2.096  
    41         2              2          2.096  
    42         1              1          2.096  
    43         1              2          2.096  
    44         2              1          2.096  
    45         2              1          2.096  
    46         1              2          2.096  
    47         1              2          2.096  
    48         2              2          2.096  
    49         1              2          2.096  
    50         1              2          2.096  
    51         2              2          2.096  
    52         1              2          2.096  
    53         1              1          2.096  
    54         1              2          2.096  
    55         1              2          2.096  
    56         2              2          2.096  
    57         1              2          2.096  
    58         2              1          2.096  
    59         2              2          2.096  
    60         1              2          2.096  
    61         2              1          2.096  
    62         2              1          2.096  
    63         1              2          2.096  
    64         1              2          2.096  
    65         2              2          2.096  
    66         2              2          2.096  
    67         2              2          2.096  
    68         2              2          2.096  
    69         1              1          2.096  
    70         2              1          2.096  
    71         1              2          2.096  
    72         1              2          2.096  
    73         1              2          2.096  
    74         2              2          2.096  
    75         2              1          2.096  
    76         2              1          2.096  
    77         1              2          2.096  
    78         1              1          2.096  
    79         2              2          2.096  
    80         2              2          2.096  

